area,year,total
108,1970,1708.2
108,1971,1359.7
108,1972,1769.6
108,1973,928.1
108,1974,1250.7
108,1975,1067.4
108,1976,1109.5
108,1977,1147.5
108,1978,1160.9
108,1979,1279.4
108,1980,1242.4
108,1981,1216.2
108,1982,949.3
108,1983,1205.1
108,1984,1249.5
108,1985,1544.6
108,1986,1247.4
108,1987,1751.4
108,1988,760.8
108,1989,1437.1
108,1990,2355.5
108,1991,1158.2
108,1992,1454.9
108,1993,1292.7
108,1994,1055.8
108,1995,1598.6
108,1996,1256.6
108,1997,1210.2
108,1998,2349.1
108,1999,1733.1
108,2000,1186.8
108,2001,1386
108,2002,1388
108,2003,2012
108,2004,1499.1
108,2005,1358.4
108,2006,1681.9
108,2007,1212.3
108,2008,1356.3
108,2009,1564
108,2010,2043.5
108,2011,2039.3
108,2012,1646.3
108,2013,1403.8
108,2014,808.9
108,2015,792.1
108,2016,991.7
108,2017,1233.2
108,2018,819.5
